Causas (lista reducida);Sexo;Provincia de residencia;Total
001 Enfermedades infecciosas intestinales;Hombres;02 Albacete;7
001 Enfermedades infecciosas intestinales;Hombres;03 Alicante/Alacant;14
001 Enfermedades infecciosas intestinales;Hombres;04 Almería;5
001 Enfermedades infecciosas intestinales;Hombres;01 Araba/Álava;3
001 Enfermedades infecciosas intestinales;Hombres;33 Asturias;13
001 Enfermedades infecciosas intestinales;Hombres;05 Ávila;4
001 Enfermedades infecciosas intestinales;Hombres;06 Badajoz;12
001 Enfermedades infecciosas intestinales;Hombres;08 Barcelona;29
001 Enfermedades infecciosas intestinales;Hombres;48 Bizkaia;7
001 Enfermedades infecciosas intestinales;Hombres;09 Burgos;4
001 Enfermedades infecciosas intestinales;Hombres;10 Cáceres;5
001 Enfermedades infecciosas intestinales;Hombres;11 Cádiz;9
001 Enfermedades infecciosas intestinales;Hombres;39 Cantabria;5
001 Enfermedades infecciosas intestinales;Hombres;12 Castellón/Castelló;5
001 Enfermedades infecciosas intestinales;Hombres;13 Ciudad Real;5
001 Enfermedades infecciosas intestinales;Hombres;14 Córdoba;7
001 Enfermedades infecciosas intestinales;Hombres;15 Coruña, A;16
001 Enfermedades infecciosas intestinales;Hombres;16 Cuenca;2
001 Enfermedades infecciosas intestinales;Hombres;20 Gipuzkoa;9
001 Enfermedades infecciosas intestinales;Hombres;17 Girona;7
001 Enfermedades infecciosas intestinales;Hombres;18 Granada;4
001 Enfermedades infecciosas intestinales;Hombres;19 Guadalajara;3
001 Enfermedades infecciosas intestinales;Hombres;21 Huelva;3
001 Enfermedades infecciosas intestinales;Hombres;22 Huesca;3
001 Enfermedades infecciosas intestinales;Hombres;23 Jaén;4
001 Enfermedades infecciosas intestinales;Hombres;24 León;8
001 Enfermedades infecciosas intestinales;Hombres;25 Lleida;9
001 Enfermedades infecciosas intestinales;Hombres;27 Lugo;2
001 Enfermedades infecciosas intestinales;Hombres;28 Madrid;40
001 Enfermedades infecciosas intestinales;Hombres;29 Málaga;17
001 Enfermedades infecciosas intestinales;Hombres;30 Murcia;6
001 Enfermedades infecciosas intestinales;Hombres;31 Navarra;6
001 Enfermedades infecciosas intestinales;Hombres;32 Ourense;10
001 Enfermedades infecciosas intestinales;Hombres;34 Palencia;2
001 Enfermedades infecciosas intestinales;Hombres;36 Pontevedra;6
001 Enfermedades infecciosas intestinales;Hombres;26 Rioja, La;4
001 Enfermedades infecciosas intestinales;Hombres;37 Salamanca;3
001 Enfermedades infecciosas intestinales;Hombres;40 Segovia;1
001 Enfermedades infecciosas intestinales;Hombres;41 Sevilla;11
001 Enfermedades infecciosas intestinales;Hombres;42 Soria;1
001 Enfermedades infecciosas intestinales;Hombres;43 Tarragona;10
001 Enfermedades infecciosas intestinales;Hombres;44 Teruel;2
001 Enfermedades infecciosas intestinales;Hombres;45 Toledo;5
001 Enfermedades infecciosas intestinales;Hombres;46 Valencia/València;16
001 Enfermedades infecciosas intestinales;Hombres;47 Valladolid;5
001 Enfermedades infecciosas intestinales;Hombres;49 Zamora;4
001 Enfermedades infecciosas intestinales;Hombres;50 Zaragoza;8
002 Tuberculosis y sus efectos tardíos;Hombres;02 Albacete;0
002 Tuberculosis y sus efectos tardíos;Hombres;03 Alicante/Alacant;5
002 Tuberculosis y sus efectos tardíos;Hombres;04 Almería;3
002 Tuberculosis y sus efectos tardíos;Hombres;01 Araba/Álava;0
002 Tuberculosis y sus efectos tardíos;Hombres;33 Asturias;3
002 Tuberculosis y sus efectos tardíos;Hombres;05 Ávila;0
002 Tuberculosis y sus efectos tardíos;Hombres;06 Badajoz;3
002 Tuberculosis y sus efectos tardíos;Hombres;08 Barcelona;14
002 Tuberculosis y sus efectos tardíos;Hombres;48 Bizkaia;1
002 Tuberculosis y sus efectos tardíos;Hombres;09 Burgos;2
002 Tuberculosis y sus efectos tardíos;Hombres;10 Cáceres;0
002 Tuberculosis y sus efectos tardíos;Hombres;11 Cádiz;3
002 Tuberculosis y sus efectos tardíos;Hombres;39 Cantabria;4
002 Tuberculosis y sus efectos tardíos;Hombres;12 Castellón/Castelló;0
002 Tuberculosis y sus efectos tardíos;Hombres;13 Ciudad Real;0
002 Tuberculosis y sus efectos tardíos;Hombres;14 Córdoba;4
002 Tuberculosis y sus efectos tardíos;Hombres;15 Coruña, A;8
002 Tuberculosis y sus efectos tardíos;Hombres;16 Cuenca;1
002 Tuberculosis y sus efectos tardíos;Hombres;20 Gipuzkoa;1
002 Tuberculosis y sus efectos tardíos;Hombres;17 Girona;4
002 Tuberculosis y sus efectos tardíos;Hombres;18 Granada;0
002 Tuberculosis y sus efectos tardíos;Hombres;19 Guadalajara;1
002 Tuberculosis y sus efectos tardíos;Hombres;21 Huelva;1
002 Tuberculosis y sus efectos tardíos;Hombres;22 Huesca;2
002 Tuberculosis y sus efectos tardíos;Hombres;23 Jaén;1
002 Tuberculosis y sus efectos tardíos;Hombres;24 León;2
002 Tuberculosis y sus efectos tardíos;Hombres;25 Lleida;4
002 Tuberculosis y sus efectos tardíos;Hombres;27 Lugo;3
002 Tuberculosis y sus efectos tardíos;Hombres;28 Madrid;12
002 Tuberculosis y sus efectos tardíos;Hombres;29 Málaga;5
002 Tuberculosis y sus efectos tardíos;Hombres;30 Murcia;6
002 Tuberculosis y sus efectos tardíos;Hombres;31 Navarra;2
002 Tuberculosis y sus efectos tardíos;Hombres;32 Ourense;1
002 Tuberculosis y sus efectos tardíos;Hombres;34 Palencia;2
002 Tuberculosis y sus efectos tardíos;Hombres;36 Pontevedra;4
002 Tuberculosis y sus efectos tardíos;Hombres;26 Rioja, La;1
002 Tuberculosis y sus efectos tardíos;Hombres;37 Salamanca;1
002 Tuberculosis y sus efectos tardíos;Hombres;40 Segovia;0
002 Tuberculosis y sus efectos tardíos;Hombres;41 Sevilla;6
002 Tuberculosis y sus efectos tardíos;Hombres;42 Soria;0
002 Tuberculosis y sus efectos tardíos;Hombres;43 Tarragona;0
002 Tuberculosis y sus efectos tardíos;Hombres;44 Teruel;0
002 Tuberculosis y sus efectos tardíos;Hombres;45 Toledo;1
002 Tuberculosis y sus efectos tardíos;Hombres;46 Valencia/València;8
002 Tuberculosis y sus efectos tardíos;Hombres;47 Valladolid;3
002 Tuberculosis y sus efectos tardíos;Hombres;49 Zamora;2
002 Tuberculosis y sus efectos tardíos;Hombres;50 Zaragoza;4
003 Enfermedad meningocócica;Hombres;02 Albacete;0
003 Enfermedad meningocócica;Hombres;03 Alicante/Alacant;1
003 Enfermedad meningocócica;Hombres;04 Almería;0
003 Enfermedad meningocócica;Hombres;01 Araba/Álava;0
003 Enfermedad meningocócica;Hombres;33 Asturias;0
003 Enfermedad meningocócica;Hombres;05 Ávila;0
003 Enfermedad meningocócica;Hombres;06 Badajoz;0
003 Enfermedad meningocócica;Hombres;08 Barcelona;2
003 Enfermedad meningocócica;Hombres;48 Bizkaia;0
003 Enfermedad meningocócica;Hombres;09 Burgos;0
003 Enfermedad meningocócica;Hombres;10 Cáceres;0
003 Enfermedad meningocócica;Hombres;11 Cádiz;1
003 Enfermedad meningocócica;Hombres;39 Cantabria;0
003 Enfermedad meningocócica;Hombres;12 Castellón/Castelló;0
003 Enfermedad meningocócica;Hombres;13 Ciudad Real;0
003 Enfermedad meningocócica;Hombres;14 Córdoba;0
003 Enfermedad meningocócica;Hombres;15 Coruña, A;1
003 Enfermedad meningocócica;Hombres;16 Cuenca;0
003 Enfermedad meningocócica;Hombres;20 Gipuzkoa;0
003 Enfermedad meningocócica;Hombres;17 Girona;0
003 Enfermedad meningocócica;Hombres;18 Granada;0
003 Enfermedad meningocócica;Hombres;19 Guadalajara;0
003 Enfermedad meningocócica;Hombres;21 Huelva;0
003 Enfermedad meningocócica;Hombres;22 Huesca;0
003 Enfermedad meningocócica;Hombres;23 Jaén;1
003 Enfermedad meningocócica;Hombres;24 León;0
003 Enfermedad meningocócica;Hombres;25 Lleida;0
003 Enfermedad meningocócica;Hombres;27 Lugo;0
003 Enfermedad meningocócica;Hombres;28 Madrid;1
003 Enfermedad meningocócica;Hombres;29 Málaga;0
003 Enfermedad meningocócica;Hombres;30 Murcia;0
003 Enfermedad meningocócica;Hombres;31 Navarra;0
003 Enfermedad meningocócica;Hombres;32 Ourense;0
003 Enfermedad meningocócica;Hombres;34 Palencia;0
003 Enfermedad meningocócica;Hombres;36 Pontevedra;0
003 Enfermedad meningocócica;Hombres;26 Rioja, La;0
003 Enfermedad meningocócica;Hombres;37 Salamanca;0
003 Enfermedad meningocócica;Hombres;40 Segovia;0
003 Enfermedad meningocócica;Hombres;41 Sevilla;0
003 Enfermedad meningocócica;Hombres;42 Soria;0
003 Enfermedad meningocócica;Hombres;43 Tarragona;0
003 Enfermedad meningocócica;Hombres;44 Teruel;0
003 Enfermedad meningocócica;Hombres;45 Toledo;0
003 Enfermedad meningocócica;Hombres;46 Valencia/València;0
003 Enfermedad meningocócica;Hombres;47 Valladolid;0
003 Enfermedad meningocócica;Hombres;49 Zamora;0
003 Enfermedad meningocócica;Hombres;50 Zaragoza;0
004 Septicemia;Hombres;02 Albacete;6
004 Septicemia;Hombres;03 Alicante/Alacant;69
004 Septicemia;Hombres;04 Almería;21
004 Septicemia;Hombres;01 Araba/Álava;6
004 Septicemia;Hombres;33 Asturias;24
004 Septicemia;Hombres;05 Ávila;9
004 Septicemia;Hombres;06 Badajoz;18
004 Septicemia;Hombres;08 Barcelona;138
004 Septicemia;Hombres;48 Bizkaia;46
004 Septicemia;Hombres;09 Burgos;19
004 Septicemia;Hombres;10 Cáceres;13
004 Septicemia;Hombres;11 Cádiz;52
004 Septicemia;Hombres;39 Cantabria;18
004 Septicemia;Hombres;12 Castellón/Castelló;18
004 Septicemia;Hombres;13 Ciudad Real;6
004 Septicemia;Hombres;14 Córdoba;29
004 Septicemia;Hombres;15 Coruña, A;33
004 Septicemia;Hombres;16 Cuenca;7
004 Septicemia;Hombres;20 Gipuzkoa;23
004 Septicemia;Hombres;17 Girona;18
004 Septicemia;Hombres;18 Granada;34
004 Septicemia;Hombres;19 Guadalajara;1
004 Septicemia;Hombres;21 Huelva;18
004 Septicemia;Hombres;22 Huesca;7
004 Septicemia;Hombres;23 Jaén;29
004 Septicemia;Hombres;24 León;20
004 Septicemia;Hombres;25 Lleida;19
004 Septicemia;Hombres;27 Lugo;22
004 Septicemia;Hombres;28 Madrid;119
004 Septicemia;Hombres;29 Málaga;42
004 Septicemia;Hombres;30 Murcia;33
004 Septicemia;Hombres;31 Navarra;16
004 Septicemia;Hombres;32 Ourense;16
004 Septicemia;Hombres;34 Palencia;7
004 Septicemia;Hombres;36 Pontevedra;32
004 Septicemia;Hombres;26 Rioja, La;8
004 Septicemia;Hombres;37 Salamanca;10
004 Septicemia;Hombres;40 Segovia;6
004 Septicemia;Hombres;41 Sevilla;46
004 Septicemia;Hombres;42 Soria;7
004 Septicemia;Hombres;43 Tarragona;26
004 Septicemia;Hombres;44 Teruel;6
004 Septicemia;Hombres;45 Toledo;8
004 Septicemia;Hombres;46 Valencia/València;83
004 Septicemia;Hombres;47 Valladolid;19
004 Septicemia;Hombres;49 Zamora;17
004 Septicemia;Hombres;50 Zaragoza;33
005 Hepatitis vírica;Hombres;02 Albacete;1
005 Hepatitis vírica;Hombres;03 Alicante/Alacant;15
005 Hepatitis vírica;Hombres;04 Almería;1
005 Hepatitis vírica;Hombres;01 Araba/Álava;2
005 Hepatitis vírica;Hombres;33 Asturias;7
005 Hepatitis vírica;Hombres;05 Ávila;0
005 Hepatitis vírica;Hombres;06 Badajoz;2
005 Hepatitis vírica;Hombres;08 Barcelona;29
005 Hepatitis vírica;Hombres;48 Bizkaia;6
005 Hepatitis vírica;Hombres;09 Burgos;2
005 Hepatitis vírica;Hombres;10 Cáceres;1
005 Hepatitis vírica;Hombres;11 Cádiz;11
005 Hepatitis vírica;Hombres;39 Cantabria;4
005 Hepatitis vírica;Hombres;12 Castellón/Castelló;1
005 Hepatitis vírica;Hombres;13 Ciudad Real;2
005 Hepatitis vírica;Hombres;14 Córdoba;6
005 Hepatitis vírica;Hombres;15 Coruña, A;7
005 Hepatitis vírica;Hombres;16 Cuenca;1
005 Hepatitis vírica;Hombres;20 Gipuzkoa;4
005 Hepatitis vírica;Hombres;17 Girona;5
005 Hepatitis vírica;Hombres;18 Granada;6
005 Hepatitis vírica;Hombres;19 Guadalajara;0
005 Hepatitis vírica;Hombres;21 Huelva;5
005 Hepatitis vírica;Hombres;22 Huesca;3
005 Hepatitis vírica;Hombres;23 Jaén;5
005 Hepatitis vírica;Hombres;24 León;2
005 Hepatitis vírica;Hombres;25 Lleida;0
005 Hepatitis vírica;Hombres;27 Lugo;5
005 Hepatitis vírica;Hombres;28 Madrid;29
005 Hepatitis vírica;Hombres;29 Málaga;7
005 Hepatitis vírica;Hombres;30 Murcia;8
005 Hepatitis vírica;Hombres;31 Navarra;1
005 Hepatitis vírica;Hombres;32 Ourense;1
005 Hepatitis vírica;Hombres;34 Palencia;1
005 Hepatitis vírica;Hombres;36 Pontevedra;4
005 Hepatitis vírica;Hombres;26 Rioja, La;4
005 Hepatitis vírica;Hombres;37 Salamanca;0
005 Hepatitis vírica;Hombres;40 Segovia;2
005 Hepatitis vírica;Hombres;41 Sevilla;12
005 Hepatitis vírica;Hombres;42 Soria;0
005 Hepatitis vírica;Hombres;43 Tarragona;4
005 Hepatitis vírica;Hombres;44 Teruel;0
005 Hepatitis vírica;Hombres;45 Toledo;6
005 Hepatitis vírica;Hombres;46 Valencia/València;30
005 Hepatitis vírica;Hombres;47 Valladolid;1
005 Hepatitis vírica;Hombres;49 Zamora;0
005 Hepatitis vírica;Hombres;50 Zaragoza;3
006 SIDA;Hombres;02 Albacete;0
006 SIDA;Hombres;03 Alicante/Alacant;12
006 SIDA;Hombres;04 Almería;4
006 SIDA;Hombres;01 Araba/Álava;2
006 SIDA;Hombres;33 Asturias;8
006 SIDA;Hombres;05 Ávila;0
006 SIDA;Hombres;06 Badajoz;4
006 SIDA;Hombres;08 Barcelona;37
006 SIDA;Hombres;48 Bizkaia;11
006 SIDA;Hombres;09 Burgos;0
006 SIDA;Hombres;10 Cáceres;8
006 SIDA;Hombres;11 Cádiz;29
006 SIDA;Hombres;39 Cantabria;3
006 SIDA;Hombres;12 Castellón/Castelló;3
006 SIDA;Hombres;13 Ciudad Real;2
006 SIDA;Hombres;14 Córdoba;5
006 SIDA;Hombres;15 Coruña, A;8
006 SIDA;Hombres;16 Cuenca;0
006 SIDA;Hombres;20 Gipuzkoa;2
006 SIDA;Hombres;17 Girona;6
006 SIDA;Hombres;18 Granada;4
006 SIDA;Hombres;19 Guadalajara;2
006 SIDA;Hombres;21 Huelva;2
006 SIDA;Hombres;22 Huesca;4
006 SIDA;Hombres;23 Jaén;6
006 SIDA;Hombres;24 León;1
006 SIDA;Hombres;25 Lleida;0
006 SIDA;Hombres;27 Lugo;0
006 SIDA;Hombres;28 Madrid;26
006 SIDA;Hombres;29 Málaga;18
006 SIDA;Hombres;30 Murcia;14
006 SIDA;Hombres;31 Navarra;0
006 SIDA;Hombres;32 Ourense;2
006 SIDA;Hombres;34 Palencia;2
006 SIDA;Hombres;36 Pontevedra;7
006 SIDA;Hombres;26 Rioja, La;2
006 SIDA;Hombres;37 Salamanca;1
006 SIDA;Hombres;40 Segovia;0
006 SIDA;Hombres;41 Sevilla;9
006 SIDA;Hombres;42 Soria;0
006 SIDA;Hombres;43 Tarragona;1
006 SIDA;Hombres;44 Teruel;1
006 SIDA;Hombres;45 Toledo;5
006 SIDA;Hombres;46 Valencia/València;32
006 SIDA;Hombres;47 Valladolid;1
006 SIDA;Hombres;49 Zamora;0
006 SIDA;Hombres;50 Zaragoza;18
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;02 Albacete;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;03 Alicante/Alacant;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;04 Almería;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;01 Araba/Álava;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;33 Asturias;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;05 Ávila;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;06 Badajoz;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;08 Barcelona;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;48 Bizkaia;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;09 Burgos;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;10 Cáceres;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;11 Cádiz;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;39 Cantabria;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;12 Castellón/Castelló;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;13 Ciudad Real;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;14 Córdoba;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;15 Coruña, A;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;16 Cuenca;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;20 Gipuzkoa;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;17 Girona;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;18 Granada;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;19 Guadalajara;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;21 Huelva;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;22 Huesca;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;23 Jaén;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;24 León;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;25 Lleida;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;27 Lugo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;28 Madrid;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;29 Málaga;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;30 Murcia;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;31 Navarra;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;32 Ourense;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;34 Palencia;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;36 Pontevedra;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;26 Rioja, La;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;37 Salamanca;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;40 Segovia;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;41 Sevilla;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;42 Soria;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;43 Tarragona;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;44 Teruel;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;45 Toledo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;46 Valencia/València;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;47 Valladolid;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;49 Zamora;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;50 Zaragoza;0
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;02 Albacete;4
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;03 Alicante/Alacant;22
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;04 Almería;8
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;01 Araba/Álava;5
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;33 Asturias;13
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;05 Ávila;5
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;06 Badajoz;7
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;08 Barcelona;63
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;48 Bizkaia;15
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;09 Burgos;9
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;10 Cáceres;5
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;11 Cádiz;15
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;39 Cantabria;9
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;12 Castellón/Castelló;7
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;13 Ciudad Real;6
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;14 Córdoba;7
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;15 Coruña, A;16
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;16 Cuenca;4
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;20 Gipuzkoa;7
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;17 Girona;13
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;18 Granada;15
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;19 Guadalajara;3
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;21 Huelva;8
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;22 Huesca;3
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;23 Jaén;5
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;24 León;8
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;25 Lleida;5
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;27 Lugo;2
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;28 Madrid;81
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;29 Málaga;16
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;30 Murcia;8
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;31 Navarra;14
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;32 Ourense;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;34 Palencia;3
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;36 Pontevedra;7
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;26 Rioja, La;9
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;37 Salamanca;8
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;40 Segovia;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;41 Sevilla;26
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;42 Soria;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;43 Tarragona;16
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;44 Teruel;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;45 Toledo;11
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;46 Valencia/València;32
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;47 Valladolid;4
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;49 Zamora;2
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;50 Zaragoza;8
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;02 Albacete;11
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;03 Alicante/Alacant;67
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;04 Almería;19
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;01 Araba/Álava;9
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;33 Asturias;61
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;05 Ávila;3
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;06 Badajoz;29
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;08 Barcelona;184
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;48 Bizkaia;53
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;09 Burgos;20
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;10 Cáceres;12
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;11 Cádiz;44
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;39 Cantabria;31
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;12 Castellón/Castelló;16
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;13 Ciudad Real;16
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;14 Córdoba;30
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;15 Coruña, A;61
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;16 Cuenca;5
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;20 Gipuzkoa;33
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;17 Girona;31
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;18 Granada;26
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;19 Guadalajara;9
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;21 Huelva;23
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;22 Huesca;13
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;23 Jaén;23
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;24 León;17
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;25 Lleida;9
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;27 Lugo;19
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;28 Madrid;157
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;29 Málaga;47
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;30 Murcia;51
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;31 Navarra;19
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;32 Ourense;23
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;34 Palencia;8
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;36 Pontevedra;33
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;26 Rioja, La;15
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;37 Salamanca;11
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;40 Segovia;8
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;41 Sevilla;60
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;42 Soria;3
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;43 Tarragona;25
