Provincias;Españoles/Extranjeros;Sexo;Edad (año a año);Año;Total
11 Cádiz;TOTAL;Hombres;87 años;2019;1.188
11 Cádiz;TOTAL;Hombres;88 años;2019;940
11 Cádiz;TOTAL;Hombres;89 años;2019;744
11 Cádiz;TOTAL;Hombres;90 años;2019;608
11 Cádiz;TOTAL;Hombres;91 años;2019;382
11 Cádiz;TOTAL;Hombres;92 años;2019;327
11 Cádiz;TOTAL;Hombres;93 años;2019;267
11 Cádiz;TOTAL;Hombres;94 años;2019;170
11 Cádiz;TOTAL;Hombres;95 años;2019;96
11 Cádiz;TOTAL;Hombres;96 años;2019;81
11 Cádiz;TOTAL;Hombres;97 años;2019;60
11 Cádiz;TOTAL;Hombres;98 años;2019;29
11 Cádiz;TOTAL;Hombres;99 años;2019;18
11 Cádiz;TOTAL;Hombres;100 años y más;2019;52
39 Cantabria;TOTAL;Hombres;0 años;2019;1.891
39 Cantabria;TOTAL;Hombres;1 año;2019;2.150
39 Cantabria;TOTAL;Hombres;2 años;2019;2.276
39 Cantabria;TOTAL;Hombres;3 años;2019;2.261
39 Cantabria;TOTAL;Hombres;4 años;2019;2.419
39 Cantabria;TOTAL;Hombres;5 años;2019;2.537
39 Cantabria;TOTAL;Hombres;6 años;2019;2.705
39 Cantabria;TOTAL;Hombres;7 años;2019;2.839
39 Cantabria;TOTAL;Hombres;8 años;2019;2.908
39 Cantabria;TOTAL;Hombres;9 años;2019;2.957
39 Cantabria;TOTAL;Hombres;10 años;2019;3.032
39 Cantabria;TOTAL;Hombres;11 años;2019;2.873
39 Cantabria;TOTAL;Hombres;12 años;2019;2.897
39 Cantabria;TOTAL;Hombres;13 años;2019;2.906
39 Cantabria;TOTAL;Hombres;14 años;2019;2.790
39 Cantabria;TOTAL;Hombres;15 años;2019;2.782
39 Cantabria;TOTAL;Hombres;16 años;2019;2.655
39 Cantabria;TOTAL;Hombres;17 años;2019;2.541
39 Cantabria;TOTAL;Hombres;18 años;2019;2.642
39 Cantabria;TOTAL;Hombres;19 años;2019;2.547
39 Cantabria;TOTAL;Hombres;20 años;2019;2.443
39 Cantabria;TOTAL;Hombres;21 años;2019;2.525
39 Cantabria;TOTAL;Hombres;22 años;2019;2.495
39 Cantabria;TOTAL;Hombres;23 años;2019;2.441
39 Cantabria;TOTAL;Hombres;24 años;2019;2.453
39 Cantabria;TOTAL;Hombres;25 años;2019;2.585
39 Cantabria;TOTAL;Hombres;26 años;2019;2.762
39 Cantabria;TOTAL;Hombres;27 años;2019;2.654
39 Cantabria;TOTAL;Hombres;28 años;2019;2.735
39 Cantabria;TOTAL;Hombres;29 años;2019;2.708
39 Cantabria;TOTAL;Hombres;30 años;2019;2.872
39 Cantabria;TOTAL;Hombres;31 años;2019;3.013
39 Cantabria;TOTAL;Hombres;32 años;2019;3.137
39 Cantabria;TOTAL;Hombres;33 años;2019;3.288
39 Cantabria;TOTAL;Hombres;34 años;2019;3.492
39 Cantabria;TOTAL;Hombres;35 años;2019;3.672
39 Cantabria;TOTAL;Hombres;36 años;2019;3.945
39 Cantabria;TOTAL;Hombres;37 años;2019;4.263
39 Cantabria;TOTAL;Hombres;38 años;2019;4.539
39 Cantabria;TOTAL;Hombres;39 años;2019;4.672
39 Cantabria;TOTAL;Hombres;40 años;2019;4.926
39 Cantabria;TOTAL;Hombres;41 años;2019;4.983
39 Cantabria;TOTAL;Hombres;42 años;2019;5.115
39 Cantabria;TOTAL;Hombres;43 años;2019;5.077
39 Cantabria;TOTAL;Hombres;44 años;2019;4.932
39 Cantabria;TOTAL;Hombres;45 años;2019;4.811
39 Cantabria;TOTAL;Hombres;46 años;2019;4.744
39 Cantabria;TOTAL;Hombres;47 años;2019;4.580
39 Cantabria;TOTAL;Hombres;48 años;2019;4.788
39 Cantabria;TOTAL;Hombres;49 años;2019;4.630
39 Cantabria;TOTAL;Hombres;50 años;2019;4.614
39 Cantabria;TOTAL;Hombres;51 años;2019;4.624
39 Cantabria;TOTAL;Hombres;52 años;2019;4.507
39 Cantabria;TOTAL;Hombres;53 años;2019;4.476
39 Cantabria;TOTAL;Hombres;54 años;2019;4.423
39 Cantabria;TOTAL;Hombres;55 años;2019;4.333
39 Cantabria;TOTAL;Hombres;56 años;2019;4.294
39 Cantabria;TOTAL;Hombres;57 años;2019;4.280
39 Cantabria;TOTAL;Hombres;58 años;2019;4.294
39 Cantabria;TOTAL;Hombres;59 años;2019;4.237
39 Cantabria;TOTAL;Hombres;60 años;2019;4.322
39 Cantabria;TOTAL;Hombres;61 años;2019;4.247
39 Cantabria;TOTAL;Hombres;62 años;2019;3.976
39 Cantabria;TOTAL;Hombres;63 años;2019;3.790
39 Cantabria;TOTAL;Hombres;64 años;2019;3.464
39 Cantabria;TOTAL;Hombres;65 años;2019;3.462
39 Cantabria;TOTAL;Hombres;66 años;2019;3.463
39 Cantabria;TOTAL;Hombres;67 años;2019;3.258
39 Cantabria;TOTAL;Hombres;68 años;2019;3.258
39 Cantabria;TOTAL;Hombres;69 años;2019;3.140
39 Cantabria;TOTAL;Hombres;70 años;2019;3.206
39 Cantabria;TOTAL;Hombres;71 años;2019;2.918
39 Cantabria;TOTAL;Hombres;72 años;2019;2.720
39 Cantabria;TOTAL;Hombres;73 años;2019;2.474
39 Cantabria;TOTAL;Hombres;74 años;2019;2.378
39 Cantabria;TOTAL;Hombres;75 años;2019;2.261
39 Cantabria;TOTAL;Hombres;76 años;2019;1.932
39 Cantabria;TOTAL;Hombres;77 años;2019;1.755
39 Cantabria;TOTAL;Hombres;78 años;2019;1.830
39 Cantabria;TOTAL;Hombres;79 años;2019;1.225
39 Cantabria;TOTAL;Hombres;80 años;2019;1.494
39 Cantabria;TOTAL;Hombres;81 años;2019;1.491
39 Cantabria;TOTAL;Hombres;82 años;2019;1.603
39 Cantabria;TOTAL;Hombres;83 años;2019;1.496
39 Cantabria;TOTAL;Hombres;84 años;2019;1.422
39 Cantabria;TOTAL;Hombres;85 años;2019;1.256
39 Cantabria;TOTAL;Hombres;86 años;2019;1.132
39 Cantabria;TOTAL;Hombres;87 años;2019;1.031
39 Cantabria;TOTAL;Hombres;88 años;2019;892
39 Cantabria;TOTAL;Hombres;89 años;2019;713
39 Cantabria;TOTAL;Hombres;90 años;2019;575
39 Cantabria;TOTAL;Hombres;91 años;2019;442
39 Cantabria;TOTAL;Hombres;92 años;2019;372
39 Cantabria;TOTAL;Hombres;93 años;2019;261
39 Cantabria;TOTAL;Hombres;94 años;2019;164
39 Cantabria;TOTAL;Hombres;95 años;2019;140
39 Cantabria;TOTAL;Hombres;96 años;2019;86
39 Cantabria;TOTAL;Hombres;97 años;2019;68
39 Cantabria;TOTAL;Hombres;98 años;2019;38
39 Cantabria;TOTAL;Hombres;99 años;2019;30
39 Cantabria;TOTAL;Hombres;100 años y más;2019;46
12 Castellón/Castelló;TOTAL;Hombres;0 años;2019;2.265
12 Castellón/Castelló;TOTAL;Hombres;1 año;2019;2.596
12 Castellón/Castelló;TOTAL;Hombres;2 años;2019;2.674
12 Castellón/Castelló;TOTAL;Hombres;3 años;2019;2.766
12 Castellón/Castelló;TOTAL;Hombres;4 años;2019;2.875
12 Castellón/Castelló;TOTAL;Hombres;5 años;2019;2.865
12 Castellón/Castelló;TOTAL;Hombres;6 años;2019;2.954
12 Castellón/Castelló;TOTAL;Hombres;7 años;2019;3.158
12 Castellón/Castelló;TOTAL;Hombres;8 años;2019;3.091
12 Castellón/Castelló;TOTAL;Hombres;9 años;2019;3.258
12 Castellón/Castelló;TOTAL;Hombres;10 años;2019;3.584
12 Castellón/Castelló;TOTAL;Hombres;11 años;2019;3.286
12 Castellón/Castelló;TOTAL;Hombres;12 años;2019;3.357
12 Castellón/Castelló;TOTAL;Hombres;13 años;2019;3.108
12 Castellón/Castelló;TOTAL;Hombres;14 años;2019;3.089
12 Castellón/Castelló;TOTAL;Hombres;15 años;2019;3.086
12 Castellón/Castelló;TOTAL;Hombres;16 años;2019;3.090
12 Castellón/Castelló;TOTAL;Hombres;17 años;2019;2.913
12 Castellón/Castelló;TOTAL;Hombres;18 años;2019;2.891
12 Castellón/Castelló;TOTAL;Hombres;19 años;2019;2.907
12 Castellón/Castelló;TOTAL;Hombres;20 años;2019;2.889
12 Castellón/Castelló;TOTAL;Hombres;21 años;2019;2.941
12 Castellón/Castelló;TOTAL;Hombres;22 años;2019;2.847
12 Castellón/Castelló;TOTAL;Hombres;23 años;2019;2.906
12 Castellón/Castelló;TOTAL;Hombres;24 años;2019;2.863
12 Castellón/Castelló;TOTAL;Hombres;25 años;2019;2.923
12 Castellón/Castelló;TOTAL;Hombres;26 años;2019;2.984
12 Castellón/Castelló;TOTAL;Hombres;27 años;2019;3.007
12 Castellón/Castelló;TOTAL;Hombres;28 años;2019;2.986
12 Castellón/Castelló;TOTAL;Hombres;29 años;2019;3.103
12 Castellón/Castelló;TOTAL;Hombres;30 años;2019;3.042
12 Castellón/Castelló;TOTAL;Hombres;31 años;2019;3.258
12 Castellón/Castelló;TOTAL;Hombres;32 años;2019;3.381
12 Castellón/Castelló;TOTAL;Hombres;33 años;2019;3.402
12 Castellón/Castelló;TOTAL;Hombres;34 años;2019;3.703
12 Castellón/Castelló;TOTAL;Hombres;35 años;2019;3.724
12 Castellón/Castelló;TOTAL;Hombres;36 años;2019;4.003
12 Castellón/Castelló;TOTAL;Hombres;37 años;2019;4.378
12 Castellón/Castelló;TOTAL;Hombres;38 años;2019;4.645
12 Castellón/Castelló;TOTAL;Hombres;39 años;2019;4.886
12 Castellón/Castelló;TOTAL;Hombres;40 años;2019;5.185
12 Castellón/Castelló;TOTAL;Hombres;41 años;2019;5.282
12 Castellón/Castelló;TOTAL;Hombres;42 años;2019;5.449
12 Castellón/Castelló;TOTAL;Hombres;43 años;2019;5.182
12 Castellón/Castelló;TOTAL;Hombres;44 años;2019;5.175
12 Castellón/Castelló;TOTAL;Hombres;45 años;2019;4.992
12 Castellón/Castelló;TOTAL;Hombres;46 años;2019;4.945
12 Castellón/Castelló;TOTAL;Hombres;47 años;2019;5.000
12 Castellón/Castelló;TOTAL;Hombres;48 años;2019;4.847
12 Castellón/Castelló;TOTAL;Hombres;49 años;2019;4.777
12 Castellón/Castelló;TOTAL;Hombres;50 años;2019;4.778
12 Castellón/Castelló;TOTAL;Hombres;51 años;2019;4.998
12 Castellón/Castelló;TOTAL;Hombres;52 años;2019;4.584
12 Castellón/Castelló;TOTAL;Hombres;53 años;2019;4.509
12 Castellón/Castelló;TOTAL;Hombres;54 años;2019;4.231
12 Castellón/Castelló;TOTAL;Hombres;55 años;2019;4.279
12 Castellón/Castelló;TOTAL;Hombres;56 años;2019;4.085
12 Castellón/Castelló;TOTAL;Hombres;57 años;2019;3.946
12 Castellón/Castelló;TOTAL;Hombres;58 años;2019;4.014
12 Castellón/Castelló;TOTAL;Hombres;59 años;2019;3.844
12 Castellón/Castelló;TOTAL;Hombres;60 años;2019;3.754
12 Castellón/Castelló;TOTAL;Hombres;61 años;2019;3.596
12 Castellón/Castelló;TOTAL;Hombres;62 años;2019;3.283
12 Castellón/Castelló;TOTAL;Hombres;63 años;2019;3.216
12 Castellón/Castelló;TOTAL;Hombres;64 años;2019;3.002
12 Castellón/Castelló;TOTAL;Hombres;65 años;2019;2.948
12 Castellón/Castelló;TOTAL;Hombres;66 años;2019;3.039
12 Castellón/Castelló;TOTAL;Hombres;67 años;2019;2.798
12 Castellón/Castelló;TOTAL;Hombres;68 años;2019;2.731
12 Castellón/Castelló;TOTAL;Hombres;69 años;2019;2.821
12 Castellón/Castelló;TOTAL;Hombres;70 años;2019;2.946
12 Castellón/Castelló;TOTAL;Hombres;71 años;2019;2.658
12 Castellón/Castelló;TOTAL;Hombres;72 años;2019;2.436
12 Castellón/Castelló;TOTAL;Hombres;73 años;2019;2.467
12 Castellón/Castelló;TOTAL;Hombres;74 años;2019;2.301
12 Castellón/Castelló;TOTAL;Hombres;75 años;2019;2.229
12 Castellón/Castelló;TOTAL;Hombres;76 años;2019;1.836
12 Castellón/Castelló;TOTAL;Hombres;77 años;2019;1.740
12 Castellón/Castelló;TOTAL;Hombres;78 años;2019;2.166
12 Castellón/Castelló;TOTAL;Hombres;79 años;2019;1.121
12 Castellón/Castelló;TOTAL;Hombres;80 años;2019;1.333
12 Castellón/Castelló;TOTAL;Hombres;81 años;2019;1.513
12 Castellón/Castelló;TOTAL;Hombres;82 años;2019;1.432
12 Castellón/Castelló;TOTAL;Hombres;83 años;2019;1.348
12 Castellón/Castelló;TOTAL;Hombres;84 años;2019;1.235
12 Castellón/Castelló;TOTAL;Hombres;85 años;2019;1.178
12 Castellón/Castelló;TOTAL;Hombres;86 años;2019;1.057
12 Castellón/Castelló;TOTAL;Hombres;87 años;2019;864
12 Castellón/Castelló;TOTAL;Hombres;88 años;2019;791
12 Castellón/Castelló;TOTAL;Hombres;89 años;2019;571
12 Castellón/Castelló;TOTAL;Hombres;90 años;2019;509
12 Castellón/Castelló;TOTAL;Hombres;91 años;2019;358
12 Castellón/Castelló;TOTAL;Hombres;92 años;2019;312
12 Castellón/Castelló;TOTAL;Hombres;93 años;2019;233
12 Castellón/Castelló;TOTAL;Hombres;94 años;2019;165
12 Castellón/Castelló;TOTAL;Hombres;95 años;2019;98
12 Castellón/Castelló;TOTAL;Hombres;96 años;2019;76
12 Castellón/Castelló;TOTAL;Hombres;97 años;2019;41
12 Castellón/Castelló;TOTAL;Hombres;98 años;2019;31
12 Castellón/Castelló;TOTAL;Hombres;99 años;2019;26
12 Castellón/Castelló;TOTAL;Hombres;100 años y más;2019;32
13 Ciudad Real;TOTAL;Hombres;0 años;2019;1.784
13 Ciudad Real;TOTAL;Hombres;1 año;2019;2.153
13 Ciudad Real;TOTAL;Hombres;2 años;2019;2.180
13 Ciudad Real;TOTAL;Hombres;3 años;2019;2.142
13 Ciudad Real;TOTAL;Hombres;4 años;2019;2.210
13 Ciudad Real;TOTAL;Hombres;5 años;2019;2.301
13 Ciudad Real;TOTAL;Hombres;6 años;2019;2.378
13 Ciudad Real;TOTAL;Hombres;7 años;2019;2.493
13 Ciudad Real;TOTAL;Hombres;8 años;2019;2.501
13 Ciudad Real;TOTAL;Hombres;9 años;2019;2.632
13 Ciudad Real;TOTAL;Hombres;10 años;2019;2.734
13 Ciudad Real;TOTAL;Hombres;11 años;2019;2.548
13 Ciudad Real;TOTAL;Hombres;12 años;2019;2.730
13 Ciudad Real;TOTAL;Hombres;13 años;2019;2.629
13 Ciudad Real;TOTAL;Hombres;14 años;2019;2.655
13 Ciudad Real;TOTAL;Hombres;15 años;2019;2.493
13 Ciudad Real;TOTAL;Hombres;16 años;2019;2.482
13 Ciudad Real;TOTAL;Hombres;17 años;2019;2.550
13 Ciudad Real;TOTAL;Hombres;18 años;2019;2.652
13 Ciudad Real;TOTAL;Hombres;19 años;2019;2.597
13 Ciudad Real;TOTAL;Hombres;20 años;2019;2.692
13 Ciudad Real;TOTAL;Hombres;21 años;2019;2.709
13 Ciudad Real;TOTAL;Hombres;22 años;2019;2.735
13 Ciudad Real;TOTAL;Hombres;23 años;2019;2.832
13 Ciudad Real;TOTAL;Hombres;24 años;2019;2.933
13 Ciudad Real;TOTAL;Hombres;25 años;2019;2.987
13 Ciudad Real;TOTAL;Hombres;26 años;2019;2.965
13 Ciudad Real;TOTAL;Hombres;27 años;2019;3.005
13 Ciudad Real;TOTAL;Hombres;28 años;2019;2.968
13 Ciudad Real;TOTAL;Hombres;29 años;2019;2.949
13 Ciudad Real;TOTAL;Hombres;30 años;2019;3.050
13 Ciudad Real;TOTAL;Hombres;31 años;2019;3.004
13 Ciudad Real;TOTAL;Hombres;32 años;2019;3.092
13 Ciudad Real;TOTAL;Hombres;33 años;2019;3.047
13 Ciudad Real;TOTAL;Hombres;34 años;2019;3.295
13 Ciudad Real;TOTAL;Hombres;35 años;2019;3.252
13 Ciudad Real;TOTAL;Hombres;36 años;2019;3.477
13 Ciudad Real;TOTAL;Hombres;37 años;2019;3.576
13 Ciudad Real;TOTAL;Hombres;38 años;2019;3.680
13 Ciudad Real;TOTAL;Hombres;39 años;2019;3.702
13 Ciudad Real;TOTAL;Hombres;40 años;2019;3.867
13 Ciudad Real;TOTAL;Hombres;41 años;2019;3.876
13 Ciudad Real;TOTAL;Hombres;42 años;2019;3.841
13 Ciudad Real;TOTAL;Hombres;43 años;2019;3.840
13 Ciudad Real;TOTAL;Hombres;44 años;2019;3.794
13 Ciudad Real;TOTAL;Hombres;45 años;2019;3.791
13 Ciudad Real;TOTAL;Hombres;46 años;2019;3.776
13 Ciudad Real;TOTAL;Hombres;47 años;2019;3.657
13 Ciudad Real;TOTAL;Hombres;48 años;2019;3.745
13 Ciudad Real;TOTAL;Hombres;49 años;2019;3.794
13 Ciudad Real;TOTAL;Hombres;50 años;2019;3.960
13 Ciudad Real;TOTAL;Hombres;51 años;2019;3.932
13 Ciudad Real;TOTAL;Hombres;52 años;2019;3.900
13 Ciudad Real;TOTAL;Hombres;53 años;2019;3.988
13 Ciudad Real;TOTAL;Hombres;54 años;2019;4.114
13 Ciudad Real;TOTAL;Hombres;55 años;2019;3.860
13 Ciudad Real;TOTAL;Hombres;56 años;2019;3.656
13 Ciudad Real;TOTAL;Hombres;57 años;2019;3.733
13 Ciudad Real;TOTAL;Hombres;58 años;2019;3.723
13 Ciudad Real;TOTAL;Hombres;59 años;2019;3.555
13 Ciudad Real;TOTAL;Hombres;60 años;2019;3.438
13 Ciudad Real;TOTAL;Hombres;61 años;2019;3.161
13 Ciudad Real;TOTAL;Hombres;62 años;2019;2.823
13 Ciudad Real;TOTAL;Hombres;63 años;2019;2.596
13 Ciudad Real;TOTAL;Hombres;64 años;2019;2.486
13 Ciudad Real;TOTAL;Hombres;65 años;2019;2.552
13 Ciudad Real;TOTAL;Hombres;66 años;2019;2.574
13 Ciudad Real;TOTAL;Hombres;67 años;2019;2.197
13 Ciudad Real;TOTAL;Hombres;68 años;2019;2.250
13 Ciudad Real;TOTAL;Hombres;69 años;2019;2.294
13 Ciudad Real;TOTAL;Hombres;70 años;2019;2.342
13 Ciudad Real;TOTAL;Hombres;71 años;2019;2.121
13 Ciudad Real;TOTAL;Hombres;72 años;2019;1.831
13 Ciudad Real;TOTAL;Hombres;73 años;2019;1.938
13 Ciudad Real;TOTAL;Hombres;74 años;2019;1.887
13 Ciudad Real;TOTAL;Hombres;75 años;2019;1.961
13 Ciudad Real;TOTAL;Hombres;76 años;2019;1.495
13 Ciudad Real;TOTAL;Hombres;77 años;2019;1.265
13 Ciudad Real;TOTAL;Hombres;78 años;2019;2.019
13 Ciudad Real;TOTAL;Hombres;79 años;2019;915
13 Ciudad Real;TOTAL;Hombres;80 años;2019;1.279
13 Ciudad Real;TOTAL;Hombres;81 años;2019;1.446
13 Ciudad Real;TOTAL;Hombres;82 años;2019;1.321
13 Ciudad Real;TOTAL;Hombres;83 años;2019;1.260
13 Ciudad Real;TOTAL;Hombres;84 años;2019;1.201
13 Ciudad Real;TOTAL;Hombres;85 años;2019;1.201
13 Ciudad Real;TOTAL;Hombres;86 años;2019;1.118
13 Ciudad Real;TOTAL;Hombres;87 años;2019;938
13 Ciudad Real;TOTAL;Hombres;88 años;2019;892
13 Ciudad Real;TOTAL;Hombres;89 años;2019;726
13 Ciudad Real;TOTAL;Hombres;90 años;2019;561
13 Ciudad Real;TOTAL;Hombres;91 años;2019;440
13 Ciudad Real;TOTAL;Hombres;92 años;2019;351
13 Ciudad Real;TOTAL;Hombres;93 años;2019;269
13 Ciudad Real;TOTAL;Hombres;94 años;2019;154
13 Ciudad Real;TOTAL;Hombres;95 años;2019;138
13 Ciudad Real;TOTAL;Hombres;96 años;2019;97
13 Ciudad Real;TOTAL;Hombres;97 años;2019;53
13 Ciudad Real;TOTAL;Hombres;98 años;2019;35
13 Ciudad Real;TOTAL;Hombres;99 años;2019;25
13 Ciudad Real;TOTAL;Hombres;100 años y más;2019;31
14 Córdoba;TOTAL;Hombres;0 años;2019;3.063
14 Córdoba;TOTAL;Hombres;1 año;2019;3.392
14 Córdoba;TOTAL;Hombres;2 años;2019;3.477
14 Córdoba;TOTAL;Hombres;3 años;2019;3.553
14 Córdoba;TOTAL;Hombres;4 años;2019;3.657
14 Córdoba;TOTAL;Hombres;5 años;2019;3.705
14 Córdoba;TOTAL;Hombres;6 años;2019;3.853
14 Córdoba;TOTAL;Hombres;7 años;2019;4.041
14 Córdoba;TOTAL;Hombres;8 años;2019;3.974
14 Córdoba;TOTAL;Hombres;9 años;2019;4.237
14 Córdoba;TOTAL;Hombres;10 años;2019;4.488
14 Córdoba;TOTAL;Hombres;11 años;2019;4.351
14 Córdoba;TOTAL;Hombres;12 años;2019;4.526
14 Córdoba;TOTAL;Hombres;13 años;2019;4.322
14 Córdoba;TOTAL;Hombres;14 años;2019;4.313
14 Córdoba;TOTAL;Hombres;15 años;2019;4.301
14 Córdoba;TOTAL;Hombres;16 años;2019;4.230
14 Córdoba;TOTAL;Hombres;17 años;2019;4.126
14 Córdoba;TOTAL;Hombres;18 años;2019;4.361
14 Córdoba;TOTAL;Hombres;19 años;2019;4.355
14 Córdoba;TOTAL;Hombres;20 años;2019;4.422
14 Córdoba;TOTAL;Hombres;21 años;2019;4.290
14 Córdoba;TOTAL;Hombres;22 años;2019;4.308
14 Córdoba;TOTAL;Hombres;23 años;2019;4.358
14 Córdoba;TOTAL;Hombres;24 años;2019;4.578
14 Córdoba;TOTAL;Hombres;25 años;2019;4.711
14 Córdoba;TOTAL;Hombres;26 años;2019;4.793
14 Córdoba;TOTAL;Hombres;27 años;2019;4.793
14 Córdoba;TOTAL;Hombres;28 años;2019;4.800
14 Córdoba;TOTAL;Hombres;29 años;2019;4.826
14 Córdoba;TOTAL;Hombres;30 años;2019;4.931
14 Córdoba;TOTAL;Hombres;31 años;2019;4.687
14 Córdoba;TOTAL;Hombres;32 años;2019;4.777
14 Córdoba;TOTAL;Hombres;33 años;2019;4.810
14 Córdoba;TOTAL;Hombres;34 años;2019;5.072
14 Córdoba;TOTAL;Hombres;35 años;2019;5.065
14 Córdoba;TOTAL;Hombres;36 años;2019;5.312
14 Córdoba;TOTAL;Hombres;37 años;2019;5.457
14 Córdoba;TOTAL;Hombres;38 años;2019;5.652
14 Córdoba;TOTAL;Hombres;39 años;2019;5.822
14 Córdoba;TOTAL;Hombres;40 años;2019;5.895
14 Córdoba;TOTAL;Hombres;41 años;2019;5.931
14 Córdoba;TOTAL;Hombres;42 años;2019;6.020
14 Córdoba;TOTAL;Hombres;43 años;2019;6.013
14 Córdoba;TOTAL;Hombres;44 años;2019;5.918
14 Córdoba;TOTAL;Hombres;45 años;2019;5.711
14 Córdoba;TOTAL;Hombres;46 años;2019;5.840
14 Córdoba;TOTAL;Hombres;47 años;2019;5.826
14 Córdoba;TOTAL;Hombres;48 años;2019;5.862
14 Córdoba;TOTAL;Hombres;49 años;2019;6.083
14 Córdoba;TOTAL;Hombres;50 años;2019;6.017
14 Córdoba;TOTAL;Hombres;51 años;2019;6.339
14 Córdoba;TOTAL;Hombres;52 años;2019;6.143
14 Córdoba;TOTAL;Hombres;53 años;2019;6.068
14 Córdoba;TOTAL;Hombres;54 años;2019;6.416
14 Córdoba;TOTAL;Hombres;55 años;2019;6.065
14 Córdoba;TOTAL;Hombres;56 años;2019;5.717
14 Córdoba;TOTAL;Hombres;57 años;2019;5.614
14 Córdoba;TOTAL;Hombres;58 años;2019;5.608
14 Córdoba;TOTAL;Hombres;59 años;2019;5.474
14 Córdoba;TOTAL;Hombres;60 años;2019;5.399
14 Córdoba;TOTAL;Hombres;61 años;2019;5.024
14 Córdoba;TOTAL;Hombres;62 años;2019;4.518
14 Córdoba;TOTAL;Hombres;63 años;2019;4.325
14 Córdoba;TOTAL;Hombres;64 años;2019;4.121
14 Córdoba;TOTAL;Hombres;65 años;2019;4.199
14 Córdoba;TOTAL;Hombres;66 años;2019;4.014
14 Córdoba;TOTAL;Hombres;67 años;2019;3.534
14 Córdoba;TOTAL;Hombres;68 años;2019;2.999
14 Córdoba;TOTAL;Hombres;69 años;2019;3.442
14 Córdoba;TOTAL;Hombres;70 años;2019;3.674
14 Córdoba;TOTAL;Hombres;71 años;2019;3.225
14 Córdoba;TOTAL;Hombres;72 años;2019;2.713
14 Córdoba;TOTAL;Hombres;73 años;2019;3.096
14 Córdoba;TOTAL;Hombres;74 años;2019;3.017
14 Córdoba;TOTAL;Hombres;75 años;2019;2.987
14 Córdoba;TOTAL;Hombres;76 años;2019;2.444
14 Córdoba;TOTAL;Hombres;77 años;2019;2.061
14 Córdoba;TOTAL;Hombres;78 años;2019;2.541
14 Córdoba;TOTAL;Hombres;79 años;2019;1.727
14 Córdoba;TOTAL;Hombres;80 años;2019;1.843
14 Córdoba;TOTAL;Hombres;81 años;2019;1.982
14 Córdoba;TOTAL;Hombres;82 años;2019;2.006
14 Córdoba;TOTAL;Hombres;83 años;2019;1.888
14 Córdoba;TOTAL;Hombres;84 años;2019;1.633
14 Córdoba;TOTAL;Hombres;85 años;2019;1.660
14 Córdoba;TOTAL;Hombres;86 años;2019;1.424
14 Córdoba;TOTAL;Hombres;87 años;2019;1.291
14 Córdoba;TOTAL;Hombres;88 años;2019;1.080
14 Córdoba;TOTAL;Hombres;89 años;2019;867
14 Córdoba;TOTAL;Hombres;90 años;2019;738
14 Córdoba;TOTAL;Hombres;91 años;2019;511
14 Córdoba;TOTAL;Hombres;92 años;2019;425
14 Córdoba;TOTAL;Hombres;93 años;2019;328
14 Córdoba;TOTAL;Hombres;94 años;2019;220
14 Córdoba;TOTAL;Hombres;95 años;2019;166
14 Córdoba;TOTAL;Hombres;96 años;2019;110
14 Córdoba;TOTAL;Hombres;97 años;2019;80
14 Córdoba;TOTAL;Hombres;98 años;2019;39
14 Córdoba;TOTAL;Hombres;99 años;2019;28
14 Córdoba;TOTAL;Hombres;100 años y más;2019;62
15 Coruña, A;TOTAL;Hombres;0 años;2019;3.715
15 Coruña, A;TOTAL;Hombres;1 año;2019;4.060
15 Coruña, A;TOTAL;Hombres;2 años;2019;4.346
15 Coruña, A;TOTAL;Hombres;3 años;2019;4.413
15 Coruña, A;TOTAL;Hombres;4 años;2019;4.436
15 Coruña, A;TOTAL;Hombres;5 años;2019;4.402
15 Coruña, A;TOTAL;Hombres;6 años;2019;4.803
15 Coruña, A;TOTAL;Hombres;7 años;2019;4.896
15 Coruña, A;TOTAL;Hombres;8 años;2019;4.966
15 Coruña, A;TOTAL;Hombres;9 años;2019;5.066
15 Coruña, A;TOTAL;Hombres;10 años;2019;5.262
15 Coruña, A;TOTAL;Hombres;11 años;2019;4.900
15 Coruña, A;TOTAL;Hombres;12 años;2019;4.920
15 Coruña, A;TOTAL;Hombres;13 años;2019;4.861
15 Coruña, A;TOTAL;Hombres;14 años;2019;4.837
15 Coruña, A;TOTAL;Hombres;15 años;2019;4.747
15 Coruña, A;TOTAL;Hombres;16 años;2019;4.464
15 Coruña, A;TOTAL;Hombres;17 años;2019;4.547
15 Coruña, A;TOTAL;Hombres;18 años;2019;4.716
15 Coruña, A;TOTAL;Hombres;19 años;2019;4.406
15 Coruña, A;TOTAL;Hombres;20 años;2019;4.598
15 Coruña, A;TOTAL;Hombres;21 años;2019;4.543
15 Coruña, A;TOTAL;Hombres;22 años;2019;4.399
15 Coruña, A;TOTAL;Hombres;23 años;2019;4.464
15 Coruña, A;TOTAL;Hombres;24 años;2019;4.560
15 Coruña, A;TOTAL;Hombres;25 años;2019;4.979
15 Coruña, A;TOTAL;Hombres;26 años;2019;4.992
15 Coruña, A;TOTAL;Hombres;27 años;2019;5.129
15 Coruña, A;TOTAL;Hombres;28 años;2019;5.103
15 Coruña, A;TOTAL;Hombres;29 años;2019;5.363
